"","X","pplot","splot","tag","spec","yrmort","elev","elevcl","aspcl","asp","soilcl","slopcl","bqudx","bqudy","meas87","p98dbh","p98ht","p10dbh","p10ht","time","nsumba.1","nsumba.2","nsumba.3","nsumba5.1","nsumba5.2","nsumba5.3","nsumbabig.1","nsumbabig.2","nsumbabig.3","dbh","ht","dbhgrowth","bagrowth","htgrowth","stat","cpos","ch","ba","id","mort","nsumba.1cl","nsumba.2cl","nsumba.3cl","nsumba5.1cl","nsumba5.2cl","nsumba5.3cl","nsumbabig.1cl","nsumbabig.2cl","nsumbabig.3cl","dbhgrowthcl","bagrowthcl","nsumba.1cl2","nsumba.2cl2","nsumba.3cl2","nsumba5.1cl2","nsumba5.2cl2","nsumba5.3cl2","nsumbabig.1cl2","nsumbabig.2cl2","nsumbabig.3cl2","dbhgrowthcl2","bagrowthcl2"
"14880",8690.201,24,1,355,"ABBA",NA,971,"M","W",310,"H","BSLP",3,1,FALSE,NA,NA,NA,NA,2010,0.00886162893,NA,NA,0.0021237216,NA,NA,0.008259203568,NA,NA,1.13,2.22,NA,NA,NA,"ALIVE","o",10.9275,0.000100287726,8690,FALSE,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,"[0,0.0294]",NA,NA,"[0,0.0294]",NA,NA,"[0,0.0294]",NA,NA,NA,NA
"14881",8691.201,24,1,356,"ABBA",NA,971,"M","W",310,"H","BSLP",3,1,FALSE,NA,NA,NA,NA,2010,0.008841153552,NA,NA,0.0021237216,NA,NA,0.008138440464,NA,NA,1.24,2.08,NA,NA,NA,"ALIVE","o",10.9275,0.000120763104,8691,FALSE,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,"[0,0.0294]",NA,NA,"[0,0.0294]",NA,NA,"[0,0.0294]",NA,NA,NA,NA
"14883",8694.201,24,1,360,"ABBA",NA,971,"M","W",310,"H","BSLP",5,5,FALSE,TRUE,NA,TRUE,TRUE,2010,0.001730487528,0.1339908108,0.355123809348,0,0.0925075536,0.24643268034,0,0,0,22.7,13.02,0.308333333333333,0.00100982805,0.118333333333333,"ALIVE","d",10.9275,0.0404708766,8694,FALSE,1,3,3,1,2,3,1,1,1,2,2,"[0,0.0294]","(0.123,0.184]","(0.301,0.452]","[0,0.0294]","(0.0534,0.107]","(0.221,0.331]","[0,0.0294]","[0,0.0615]","[0,0.151]","(0.185,0.37]","(0.000524,0.00105]"
"14884",8699.201,24,1,364.1,"ABBA",NA,971,"M","W",310,"H","BSLP",3,1,FALSE,NA,NA,NA,NA,2010,0.008868603282,NA,NA,0.0021237216,NA,NA,0.008359491294,NA,NA,1.09,1.85,NA,NA,NA,"ALIVE","o",10.9275,9.3313374e-05,8699,FALSE,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,"[0,0.0294]",NA,NA,"[0,0.0294]",NA,NA,"[0,0.0294]",NA,NA,NA,NA
"14886",8701.201,24,1,366,"ABBA",NA,971,"M","W",310,"H","BSLP",5,4,FALSE,TRUE,NA,TRUE,FALSE,2010,0.030484342812,0.158722766202,0.36186013017,0.0248846136,0.1251448506,0.246382736754,0,0.0404708766,0.0951103692,18,9.41,0.0500000000000001,0.0001390158,-0.0408333333333334,"ALIVE","c",10.9275,0.02544696,8701,FALSE,2,3,3,1,3,3,1,1,1,1,1,"(0.0294,0.0588]","(0.123,0.184]","(0.301,0.452]","[0,0.0294]","(0.107,0.16]","(0.221,0.331]","[0,0.0294]","[0,0.0615]","[0,0.151]","[0,0.185]","[0,0.000524]"
"14887",8705.201,24,1,463,"ABBA",NA,971,"M","W",310,"H","BSLP",1,5,FALSE,TRUE,TRUE,TRUE,TRUE,2010,0.016877311374,NA,NA,0.0116270616,NA,NA,0.00950334,NA,NA,7.2,7.79,0.191666666666667,0.00018214735,0.3075,"ALIVE","i",10.9275,0.0040715136,8705,FALSE,1,NA,NA,1,NA,NA,1,NA,NA,2,1,"[0,0.0294]",NA,NA,"[0,0.0294]",NA,NA,"[0,0.0294]",NA,NA,"(0.185,0.37]","[0,0.000524]"
"14888",8711.201,24,1,470,"ABBA",NA,971,"M","W",310,"H","BSLP",1,5,FALSE,TRUE,TRUE,TRUE,TRUE,2010,0.019692184974,NA,NA,0.0156985752,NA,NA,0.0172191096,NA,NA,4,5.77,0.0916666666666667,4.967655e-05,0.189166666666667,"ALIVE","o",10.9275,0.00125664,8711,FALSE,1,NA,NA,1,NA,NA,1,NA,NA,1,1,"[0,0.0294]",NA,NA,"[0,0.0294]",NA,NA,"[0,0.0294]",NA,NA,"[0,0.185]","[0,0.000524]"
"14889",8714.201,24,1,474,"ABBA",NA,971,"M","W",310,"H","BSLP",1,5,FALSE,TRUE,TRUE,TRUE,TRUE,2010,0.020438118624,NA,NA,0.0156985752,NA,NA,0.020438118624,NA,NA,2.55,4.64,0.0541666666666667,1.89314125e-05,0.145,"ALIVE","o",10.9275,0.00051070635,8714,FALSE,1,NA,NA,1,NA,NA,1,NA,NA,1,1,"[0,0.0294]",NA,NA,"[0,0.0294]",NA,NA,"[0,0.0294]",NA,NA,"[0,0.185]","[0,0.000524]"
"14890",8722.201,24,1,487,"ABBA",NA,971,"M","W",310,"H","BSLP",4,1,FALSE,TRUE,NA,TRUE,FALSE,2010,0.004434242736,NA,NA,0.0021237216,NA,NA,0,NA,NA,9.7,10.8,0.05,7.38275999999999e-05,-0.0833333333333333,"ALIVE","d",10.9275,0.0073898286,8722,FALSE,1,NA,NA,1,NA,NA,1,NA,NA,1,1,"[0,0.0294]",NA,NA,"[0,0.0294]",NA,NA,"[0,0.0294]",NA,NA,"[0,0.185]","[0,0.000524]"
"14891",8724.201,24,1,489,"ABBA",NA,971,"M","W",310,"H","BSLP",1,5,FALSE,TRUE,TRUE,TRUE,TRUE,2010,0.01979070555,NA,NA,0.0156985752,NA,NA,0.0184757496,NA,NA,3.84,4.93,0.0866666666666667,4.5197152e-05,0.2025,"ALIVE","o",10.9275,0.001158119424,8724,FALSE,1,NA,NA,1,NA,NA,1,NA,NA,1,1,"[0,0.0294]",NA,NA,"[0,0.0294]",NA,NA,"[0,0.0294]",NA,NA,"[0,0.185]","[0,0.000524]"
"14892",8725.201,24,1,490,"ABBA",NA,971,"M","W",310,"H","BSLP",1,5,FALSE,TRUE,TRUE,TRUE,TRUE,2010,0.011445484974,NA,NA,0.0061952352,NA,NA,0,NA,NA,11,9.48,0.408333333333333,0.00054840555,0.415,"ALIVE","i",10.9275,0.00950334,8725,FALSE,1,NA,NA,1,NA,NA,1,NA,NA,3,2,"[0,0.0294]",NA,NA,"[0,0.0294]",NA,NA,"[0,0.0294]",NA,NA,"(0.37,0.555]","(0.000524,0.00105]"
"14893",8730.201,24,1,495,"ABBA",NA,971,"M","W",310,"H","BSLP",1,4,FALSE,TRUE,TRUE,TRUE,TRUE,2010,0.02336655321,NA,NA,0.01625797635,NA,NA,0.02144389401,NA,NA,3.85,4.68,0.0958333333333333,4.93002125e-05,0.181666666666667,"ALIVE","o",10.9275,0.00116415915,8730,FALSE,1,NA,NA,1,NA,NA,1,NA,NA,1,1,"[0,0.0294]",NA,NA,"[0,0.0294]",NA,NA,"[0,0.0294]",NA,NA,"[0,0.185]","[0,0.000524]"
"14894",8733.201,24,1,498,"ABBA",NA,971,"M","W",310,"H","BSLP",1,4,FALSE,TRUE,TRUE,TRUE,TRUE,2010,0.02272115076,NA,NA,0.01625797635,NA,NA,0.018120701676,NA,NA,4.8,5.73,0.141666666666667,8.789935e-05,0.2275,"ALIVE","o",10.9275,0.0018095616,8733,FALSE,1,NA,NA,1,NA,NA,1,NA,NA,1,1,"[0,0.0294]",NA,NA,"[0,0.0294]",NA,NA,"[0,0.0294]",NA,NA,"[0,0.185]","[0,0.000524]"
"14895",8734.201,24,1,499,"ABBA",NA,971,"M","W",310,"H","BSLP",1,4,FALSE,TRUE,TRUE,TRUE,TRUE,2010,0.01950415236,NA,NA,0.01123141635,NA,NA,0,NA,NA,8,8.63,0.258333333333333,0.00026173455,0.3775,"ALIVE","i",10.9275,0.00502656,8734,FALSE,1,NA,NA,1,NA,NA,1,NA,NA,2,1,"[0,0.0294]",NA,NA,"[0,0.0294]",NA,NA,"[0,0.0294]",NA,NA,"(0.185,0.37]","[0,0.000524]"
"14896",8735.201,24,1,499.1,"ABBA",NA,971,"M","W",310,"H","BSLP",3,1,FALSE,NA,NA,NA,NA,2010,0.008255056656,NA,NA,0.0021237216,NA,NA,0.004761424668,NA,NA,3,2.81,NA,NA,NA,"ALIVE","o",10.9275,0.00070686,8735,FALSE,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,"[0,0.0294]",NA,NA,"[0,0.0294]",NA,NA,"[0,0.0294]",NA,NA,NA,NA
"14898",8747.201,24,1,760,"ABBA",NA,971,"M","W",310,"H","BSLP",1,5,FALSE,TRUE,TRUE,TRUE,TRUE,2010,0.019428290574,NA,NA,0.0156985752,NA,NA,0.0156985752,NA,NA,4.4,6.64,0.116666666666667,6.78062e-05,0.37,"ALIVE","o",10.9275,0.0015205344,8747,FALSE,1,NA,NA,1,NA,NA,1,NA,NA,1,1,"[0,0.0294]",NA,NA,"[0,0.0294]",NA,NA,"[0,0.0294]",NA,NA,"[0,0.185]","[0,0.000524]"
"14900",8755.201,24,1,839,"ABBA",NA,971,"M","W",310,"H","BSLP",2,4,FALSE,TRUE,TRUE,TRUE,TRUE,2010,0.020468851326,0.170803851834,NA,0.016048345236,0.117768130326,NA,0.0067709334,0.079768844694,NA,6.1,5.89,0.175,0.00013881945,0.2325,"ALIVE","o",10.9275,0.0029224734,8755,FALSE,1,3,NA,1,3,NA,1,2,NA,1,1,"[0,0.0294]","(0.123,0.184]",NA,"[0,0.0294]","(0.107,0.16]",NA,"[0,0.0294]","(0.0615,0.123]",NA,"[0,0.185]","[0,0.000524]"
"14901",8756.201,24,1,843,"ABBA",NA,971,"M","W",310,"H","BSLP",2,4,FALSE,TRUE,TRUE,TRUE,TRUE,2010,0.02104133724,0.171376337748,NA,0.01662083115,0.11834061624,NA,0.0122451714,0.093085301694,NA,5.47,6.17,0.205833333333333,0.0001369272905,0.255833333333333,"ALIVE","o",10.9275,0.002349987486,8756,FALSE,1,3,NA,1,3,NA,1,2,NA,2,1,"[0,0.0294]","(0.123,0.184]",NA,"[0,0.0294]","(0.107,0.16]",NA,"[0,0.0294]","(0.0615,0.123]",NA,"(0.185,0.37]","[0,0.000524]"
"14902",8757.201,24,1,877,"ABBA",NA,971,"M","W",310,"H","BSLP",2,5,FALSE,TRUE,TRUE,TRUE,TRUE,2010,0.00783758514,0.158636332932,NA,0.0054891606,0.119733986526,NA,0,0.00950334,NA,11,7.6,0.433333333333333,0.0005717712,0.308333333333333,"ALIVE","i",10.9275,0.00950334,8757,FALSE,1,3,NA,1,3,NA,1,1,NA,3,2,"[0,0.0294]","(0.123,0.184]",NA,"[0,0.0294]","(0.107,0.16]",NA,"[0,0.0294]","[0,0.0615]",NA,"(0.37,0.555]","(0.000524,0.00105]"
"14903",8758.201,24,1,879,"ABBA",NA,971,"M","W",310,"H","BSLP",1,5,FALSE,TRUE,TRUE,TRUE,TRUE,2010,0.020144575374,NA,NA,0.0156985752,NA,NA,0.019633869024,NA,NA,3.2,4.78,0.05,2.27766e-05,0.106666666666667,"ALIVE","o",10.9275,0.0008042496,8758,FALSE,1,NA,NA,1,NA,NA,1,NA,NA,1,1,"[0,0.0294]",NA,NA,"[0,0.0294]",NA,NA,"[0,0.0294]",NA,NA,"[0,0.185]","[0,0.000524]"
"14904",8759.201,24,1,882,"ABBA",NA,971,"M","W",310,"H","BSLP",1,5,FALSE,TRUE,TRUE,TRUE,TRUE,2010,0.018825103374,NA,NA,0.0135748536,NA,NA,0.0135748536,NA,NA,5.2,6.28,0.175,0.00011407935,0.265,"ALIVE","o",10.9275,0.0021237216,8759,FALSE,1,NA,NA,1,NA,NA,1,NA,NA,1,1,"[0,0.0294]",NA,NA,"[0,0.0294]",NA,NA,"[0,0.0294]",NA,NA,"[0,0.185]","[0,0.000524]"
"14905",8761.201,24,1,883.1,"ABBA",NA,971,"M","W",310,"H","BSLP",2,5,FALSE,NA,NA,NA,NA,2010,0.01537742514,0.166176172932,NA,0.0130290006,0.127273826526,NA,0.0130290006,0.127273826526,NA,5,6.48,NA,NA,NA,"ALIVE","",10.9275,0.0019635,8761,FALSE,1,3,NA,1,3,NA,1,3,NA,NA,NA,"[0,0.0294]","(0.123,0.184]",NA,"[0,0.0294]","(0.107,0.16]",NA,"[0,0.0294]","(0.123,0.184]",NA,NA,NA
"14909",8769.201,24,1,889.1,"ABBA",NA,971,"M","W",310,"H","BSLP",1,4,FALSE,NA,NA,NA,NA,2010,0.02224048596,NA,NA,0.01396774995,NA,NA,0.009817193694,NA,NA,5.4,6.19,NA,NA,NA,"ALIVE","i",10.9275,0.0022902264,8769,FALSE,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,"[0,0.0294]",NA,NA,"[0,0.0294]",NA,NA,"[0,0.0294]",NA,NA,NA,NA
"14910",8770.201,24,1,890,"ABBA",NA,971,"M","W",310,"H","BSLP",1,4,FALSE,TRUE,TRUE,TRUE,TRUE,2010,0.019740078666,NA,NA,0.011467342656,NA,NA,0.00502656,NA,NA,7.81,7.12,0.3425,0.0003096184245,0.326666666666667,"ALIVE","i",10.9275,0.004790633694,8770,FALSE,1,NA,NA,1,NA,NA,1,NA,NA,2,1,"[0,0.0294]",NA,NA,"[0,0.0294]",NA,NA,"[0,0.0294]",NA,NA,"(0.185,0.37]","[0,0.000524]"
"14911",8772.201,24,1,892,"ABBA",NA,971,"M","W",310,"H","BSLP",1,4,FALSE,TRUE,TRUE,TRUE,TRUE,2010,0.023766172584,NA,NA,0.01625797635,NA,NA,0.023766172584,NA,NA,3.12,4.7,0.0266666666666667,1.2398848e-05,0.191666666666667,"ALIVE","o",10.9275,0.000764539776,8772,FALSE,1,NA,NA,1,NA,NA,1,NA,NA,1,1,"[0,0.0294]",NA,NA,"[0,0.0294]",NA,NA,"[0,0.0294]",NA,NA,"[0,0.185]","[0,0.000524]"
"14912",8779.201,24,1,899,"ABBA",NA,971,"M","W",310,"H","BSLP",1,4,FALSE,TRUE,TRUE,TRUE,TRUE,2010,0.02240699076,NA,NA,0.01413425475,NA,NA,0.012107420094,NA,NA,5.2,5.12,0.0333333333333334,2.618e-05,0.0683333333333334,"ALIVE","o",10.9275,0.0021237216,8779,FALSE,1,NA,NA,1,NA,NA,1,NA,NA,1,1,"[0,0.0294]",NA,NA,"[0,0.0294]",NA,NA,"[0,0.0294]",NA,NA,"[0,0.185]","[0,0.000524]"
"14913",8781.201,24,1,2001,"ABBA",NA,971,"M","W",310,"H","BSLP",3,5,FALSE,NA,NA,NA,NA,2010,0.015479000922,0.120498392784,0.452177493768,0.009118494,0.074907870576,0.331109473926,0.015406516356,0.12017527137,0.451053641346,0.9,1.45,NA,NA,NA,"ALIVE","o",10.9275,6.36174e-05,8781,FALSE,1,2,3,1,2,3,1,2,3,NA,NA,"[0,0.0294]","(0.0615,0.123]","(0.301,0.452]","[0,0.0294]","(0.0534,0.107]","(0.221,0.331]","[0,0.0294]","(0.0615,0.123]","(0.301,0.452]",NA,NA
"14914",8782.201,24,1,2002,"ABBA",NA,971,"M","W",310,"H","BSLP",5,3,FALSE,NA,NA,NA,NA,2010,0.007803161058,0.184416247554,0.354344826066,0.004417875,0.141637787214,0.243416280954,0.007803161058,0.184416247554,0.354344826066,0,1.19,NA,NA,NA,"ALIVE","o",10.9275,0,8782,FALSE,1,3,3,1,3,3,1,3,3,NA,NA,"[0,0.0294]","(0.123,0.184]","(0.301,0.452]","[0,0.0294]","(0.107,0.16]","(0.221,0.331]","[0,0.0294]","(0.123,0.184]","(0.301,0.452]",NA,NA
"14915",8783.201,24,1,2003,"ABBA",NA,971,"M","W",310,"H","BSLP",4,5,FALSE,NA,NA,NA,NA,2010,0.006591909324,0.161312473476,0.406462336434,0,0.11457108894,0.296868979176,0.006545342958,0.159672181284,0.403537820994,1.2,1.71,NA,NA,NA,"ALIVE","o",10.9275,0.0001130976,8783,FALSE,1,3,3,1,3,3,1,3,3,NA,NA,"[0,0.0294]","(0.123,0.184]","(0.301,0.452]","[0,0.0294]","(0.107,0.16]","(0.221,0.331]","[0,0.0294]","(0.123,0.184]","(0.301,0.452]",NA,NA
"14916",8784.201,24,1,2004,"ABBA",NA,971,"M","W",310,"H","BSLP",4,5,FALSE,NA,NA,NA,NA,2010,0.006089253324,0.160809817476,0.405959680434,0,0.11457108894,0.296868979176,0.005007333408,0.14358714216,0.369884695488,2.8,2.92,NA,NA,NA,"ALIVE","o",10.9275,0.0006157536,8784,FALSE,1,3,3,1,3,3,1,3,3,NA,NA,"[0,0.0294]","(0.123,0.184]","(0.301,0.452]","[0,0.0294]","(0.107,0.16]","(0.221,0.331]","[0,0.0294]","(0.123,0.184]","(0.301,0.452]",NA,NA
"14918",8786.201,24,1,2006,"ABBA",NA,971,"M","W",310,"H","BSLP",5,4,FALSE,NA,NA,NA,NA,2010,0.055921124028,0.184159547418,0.387296911386,0.0503315736,0.1505918106,0.271829696754,0.055921124028,0.184150358238,0.387251570244,0.36,1.49,NA,NA,NA,"ALIVE","o",10.9275,1.0178784e-05,8786,FALSE,2,3,3,2,3,3,2,3,3,NA,NA,"(0.0294,0.0588]","(0.123,0.184]","(0.301,0.452]","(0.0294,0.0588]","(0.107,0.16]","(0.221,0.331]","(0.0294,0.0588]","(0.123,0.184]","(0.301,0.452]",NA,NA
"14919",8787.201,24,1,2011,"ABBA",NA,971,"M","W",310,"H","BSLP",5,4,FALSE,NA,NA,NA,NA,2010,0.055515826212,0.183754249602,0.38689161357,0.0503315736,0.1505918106,0.271829696754,0.054286675212,0.17742610116,0.364583748144,2.3,2.66,NA,NA,NA,"ALIVE","o",10.9275,0.0004154766,8787,FALSE,2,3,3,2,3,3,2,3,3,NA,NA,"(0.0294,0.0588]","(0.123,0.184]","(0.301,0.452]","(0.0294,0.0588]","(0.107,0.16]","(0.221,0.331]","(0.0294,0.0588]","(0.123,0.184]","(0.301,0.452]",NA,NA
"14920",8788.201,24,1,2012,"ABBA",NA,971,"M","W",310,"H","BSLP",4,1,FALSE,NA,NA,NA,NA,2010,0.011824071336,NA,NA,0.0095135502,NA,NA,0.011824071336,NA,NA,0,1.34,NA,NA,NA,"ALIVE","o",10.9275,0,8788,FALSE,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,"[0,0.0294]",NA,NA,"[0,0.0294]",NA,NA,"[0,0.0294]",NA,NA,NA,NA
"14921",8789.201,24,1,2013,"ABBA",NA,971,"M","W",310,"H","BSLP",3,5,FALSE,NA,NA,NA,NA,2010,0.015514343922,0.120533735784,0.452212836768,0.009118494,0.074907870576,0.331109473926,0.015508618356,0.120493381932,0.451991793792,0.6,1.58,NA,NA,NA,"ALIVE","o",10.9275,2.82744e-05,8789,FALSE,1,2,3,1,2,3,1,2,3,NA,NA,"[0,0.0294]","(0.0615,0.123]","(0.301,0.452]","[0,0.0294]","(0.0534,0.107]","(0.221,0.331]","[0,0.0294]","(0.0615,0.123]","(0.301,0.452]",NA,NA
"14923",8791.201,24,1,2015,"ABBA",NA,971,"M","W",310,"H","BSLP",5,4,FALSE,NA,NA,NA,NA,2010,0.055931302812,0.184169726202,0.38730709017,0.0503315736,0.1505918106,0.271829696754,0.055931302812,0.184169726202,0.38730709017,0,1.12,NA,NA,NA,"ALIVE","o",10.9275,0,8791,FALSE,2,3,3,2,3,3,2,3,3,NA,NA,"(0.0294,0.0588]","(0.123,0.184]","(0.301,0.452]","(0.0294,0.0588]","(0.107,0.16]","(0.221,0.331]","(0.0294,0.0588]","(0.123,0.184]","(0.301,0.452]",NA,NA
"14924",8792.201,24,1,2016,"ABBA",NA,971,"M","W",310,"H","BSLP",5,5,FALSE,NA,NA,NA,NA,2010,0.042184745064,0.174445068336,0.395578066884,0.0404708766,0.1329784302,0.28690355694,0.04217279913,0.174361925892,0.395437637364,0.46,1.51,NA,NA,NA,"ALIVE","o",10.9275,1.6619064e-05,8792,FALSE,2,3,3,2,3,3,2,3,3,NA,NA,"(0.0294,0.0588]","(0.123,0.184]","(0.301,0.452]","(0.0294,0.0588]","(0.107,0.16]","(0.221,0.331]","(0.0294,0.0588]","(0.123,0.184]","(0.301,0.452]",NA,NA
"14925",8793.201,24,1,2020,"ABBA",NA,971,"M","W",310,"H","BSLP",3,5,FALSE,NA,NA,NA,NA,2010,0.015429520722,0.120448912584,0.452128013568,0.009118494,0.074907870576,0.331109473926,0.01510736535,0.119502678372,0.449511508446,1.2,1.79,NA,NA,NA,"ALIVE","o",10.9275,0.0001130976,8793,FALSE,1,2,3,1,2,3,1,2,3,NA,NA,"[0,0.0294]","(0.0615,0.123]","(0.301,0.452]","[0,0.0294]","(0.0534,0.107]","(0.221,0.331]","[0,0.0294]","(0.0615,0.123]","(0.301,0.452]",NA,NA
"14926",8794.201,24,1,2021,"ABBA",NA,971,"M","W",310,"H","BSLP",3,5,FALSE,NA,NA,NA,NA,2010,0.015228458322,0.120247850184,0.451926951168,0.009118494,0.074907870576,0.331109473926,0.01479320535,0.115582888344,0.442446591972,2,2.53,NA,NA,NA,"ALIVE","o",10.9275,0.00031416,8794,FALSE,1,2,3,1,2,3,1,2,3,NA,NA,"[0,0.0294]","(0.0615,0.123]","(0.301,0.452]","[0,0.0294]","(0.0534,0.107]","(0.221,0.331]","[0,0.0294]","(0.0615,0.123]","(0.301,0.452]",NA,NA
"14927",8795.201,24,1,2022,"ABBA",NA,971,"M","W",310,"H","BSLP",4,4,FALSE,NA,NA,NA,NA,2010,0.002720766972,0.163014843684,0.406334598978,0,0.11954424174,0.28218232119,0.002679926172,0.161364757554,0.402864481866,1.2,1.93,NA,NA,NA,"ALIVE","o",10.9275,0.0001130976,8795,FALSE,1,3,3,1,3,3,1,3,3,NA,NA,"[0,0.0294]","(0.123,0.184]","(0.301,0.452]","[0,0.0294]","(0.107,0.16]","(0.221,0.331]","[0,0.0294]","(0.123,0.184]","(0.301,0.452]",NA,NA
"14928",8796.201,24,1,2023,"ABBA",NA,971,"M","W",310,"H","BSLP",4,4,FALSE,NA,NA,NA,NA,2010,0.002606883972,0.162900960684,0.406220715978,0,0.11954424174,0.28218232119,0.002311919148,0.158930551626,0.39669442659,1.7,2.02,NA,NA,NA,"ALIVE","o",10.9275,0.0002269806,8796,FALSE,1,3,3,1,3,3,1,3,3,NA,NA,"[0,0.0294]","(0.123,0.184]","(0.301,0.452]","[0,0.0294]","(0.107,0.16]","(0.221,0.331]","[0,0.0294]","(0.123,0.184]","(0.301,0.452]",NA,NA
"14929",8797.201,24,1,2024,"ABBA",NA,971,"M","W",310,"H","BSLP",4,3,FALSE,NA,NA,NA,NA,2010,0.00905990316,0.116229688806,0.398981377872,0.0045364704,0.072152742354,0.27045786999,0.00905990316,0.116229688806,0.398981377872,0,1.13,NA,NA,NA,"ALIVE","o",10.9275,0,8797,FALSE,1,2,3,1,2,3,1,2,3,NA,NA,"[0,0.0294]","(0.0615,0.123]","(0.301,0.452]","[0,0.0294]","(0.0534,0.107]","(0.221,0.331]","[0,0.0294]","(0.0615,0.123]","(0.301,0.452]",NA,NA
"14930",8798.201,24,1,2025,"ABBA",NA,971,"M","W",310,"H","BSLP",4,4,FALSE,NA,NA,NA,NA,2010,0.002579394972,0.162873471684,0.406193226978,0,0.11954424174,0.28218232119,0.001827790734,0.158446423212,0.39527261697,1.8,2.14,NA,NA,NA,"ALIVE","o",10.9275,0.0002544696,8798,FALSE,1,3,3,1,3,3,1,3,3,NA,NA,"[0,0.0294]","(0.123,0.184]","(0.301,0.452]","[0,0.0294]","(0.107,0.16]","(0.221,0.331]","[0,0.0294]","(0.123,0.184]","(0.301,0.452]",NA,NA
"14931",8799.201,24,1,2026,"ABBA",NA,971,"M","W",310,"H","BSLP",5,5,FALSE,NA,NA,NA,NA,2010,0.042159510162,0.174419833434,0.395552831982,0.0404708766,0.1329784302,0.28690355694,0.04206354999,0.173986221948,0.394635586884,0.73,2.62,NA,NA,NA,"ALIVE","o",10.9275,4.1853966e-05,8799,FALSE,2,3,3,2,3,3,2,3,3,NA,NA,"(0.0294,0.0588]","(0.123,0.184]","(0.301,0.452]","(0.0294,0.0588]","(0.107,0.16]","(0.221,0.331]","(0.0294,0.0588]","(0.123,0.184]","(0.301,0.452]",NA,NA
"14932",8800.201,24,1,2027,"ABBA",NA,971,"M","W",310,"H","BSLP",3,5,FALSE,NA,NA,NA,NA,2010,0.015464078322,0.120483470184,0.452162571168,0.009118494,0.074907870576,0.331109473926,0.015327976356,0.120031692396,0.450778515726,1,1.83,NA,NA,NA,"ALIVE","o",10.9275,7.854e-05,8800,FALSE,1,2,3,1,2,3,1,2,3,NA,NA,"[0,0.0294]","(0.0615,0.123]","(0.301,0.452]","[0,0.0294]","(0.0534,0.107]","(0.221,0.331]","[0,0.0294]","(0.0615,0.123]","(0.301,0.452]",NA,NA
"14933",8801.201,24,1,2028,"ABBA",NA,971,"M","W",310,"H","BSLP",5,5,FALSE,NA,NA,NA,NA,2010,0.042189418194,0.174449741466,0.395582740014,0.0404708766,0.1329784302,0.28690355694,0.042189418194,0.17441688033,0.395504537736,0.39,1.4,NA,NA,NA,"ALIVE","o",10.9275,1.1945934e-05,8801,FALSE,2,3,3,2,3,3,2,3,3,NA,NA,"(0.0294,0.0588]","(0.123,0.184]","(0.301,0.452]","(0.0294,0.0588]","(0.107,0.16]","(0.221,0.331]","(0.0294,0.0588]","(0.123,0.184]","(0.301,0.452]",NA,NA
"14934",8802.201,24,1,2029,"ABBA",NA,971,"M","W",310,"H","BSLP",5,5,FALSE,NA,NA,NA,NA,2010,0.041706554274,0.173966877546,0.395099876094,0.0404708766,0.1329784302,0.28690355694,0.041077865136,0.164581300422,0.366697306668,2.51,2.73,NA,NA,NA,"ALIVE","o",10.9275,0.000494809854,8802,FALSE,2,3,3,2,3,3,2,3,3,NA,NA,"(0.0294,0.0588]","(0.123,0.184]","(0.301,0.452]","(0.0294,0.0588]","(0.107,0.16]","(0.221,0.331]","(0.0294,0.0588]","(0.123,0.184]","(0.301,0.452]",NA,NA
"14935",8803.201,24,1,2030,"ABBA",NA,971,"M","W",310,"H","BSLP",4,3,FALSE,NA,NA,NA,NA,2010,0.00894680556,0.116116591206,0.398868280272,0.0045364704,0.072152742354,0.27045786999,0.008676298092,0.114549286236,0.39474467109,1.2,2.05,NA,NA,NA,"ALIVE","o",10.9275,0.0001130976,8803,FALSE,1,2,3,1,2,3,1,2,3,NA,NA,"[0,0.0294]","(0.0615,0.123]","(0.301,0.452]","[0,0.0294]","(0.0534,0.107]","(0.221,0.331]","[0,0.0294]","(0.0615,0.123]","(0.301,0.452]",NA,NA
"14936",8804.201,24,1,2031,"ABBA",NA,971,"M","W",310,"H","BSLP",5,5,FALSE,NA,NA,NA,NA,2010,0.041594375592,0.173854698864,0.394987697412,0.0404708766,0.1329784302,0.28690355694,0.0404708766,0.1605981993,0.35887722024,2.78,2.88,NA,NA,NA,"ALIVE","o",10.9275,0.000606988536,8804,FALSE,2,3,3,2,3,3,2,3,3,NA,NA,"(0.0294,0.0588]","(0.123,0.184]","(0.301,0.452]","(0.0294,0.0588]","(0.107,0.16]","(0.221,0.331]","(0.0294,0.0588]","(0.123,0.184]","(0.301,0.452]",NA,NA
