"pplot","splot","tag","spec","yrmort","elev","elevcl","aspcl","asp","soilcl","slopcl","bqudx","bqudy","meas87","time","dbh","ht","dbhgrowth","bagrowth","htgrowth","stat","cpos","ch","ba","priordbh","priorba","priorht","id","mort"
5,2,731,"PIRU",NA,840,"L","E",180,"S","FSLP",NA,NA,FALSE,1986,13.9,NA,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0151747134,NA,NA,NA,402,FALSE
5,2,733,"BECO","2010",840,"L","E",180,"S","FSLP",5,8,FALSE,1986,13.2,11.4,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0136848096,NA,NA,NA,403,TRUE
5,2,734,"BECO",NA,840,"L","E",180,"S","FSLP",5,8,FALSE,1986,9.5,11.4,NA,NA,NA,"ALIVE",NA,15.261481190625,0.007088235,NA,NA,NA,404,FALSE
5,2,746,"BECO",NA,840,"L","E",180,"S","FSLP",5,6,FALSE,1986,26.9,13.5,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0568323294,NA,NA,NA,405,FALSE
5,2,752,"BECO",NA,840,"L","E",180,"S","FSLP",1,8,FALSE,1986,21.5,11.8,NA,NA,NA,"ALIVE",NA,15.261481190625,0.036305115,NA,NA,NA,406,FALSE
5,2,753,"ABBA",NA,840,"L","E",180,"S","FSLP",3,6,FALSE,1986,5.8,4.7,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0026420856,NA,NA,NA,407,FALSE
5,2,756,"BECO",NA,840,"L","E",180,"S","FSLP",3,6,FALSE,1986,14,10.9,NA,NA,NA,"ALIVE",NA,15.261481190625,0.01539384,NA,NA,NA,408,FALSE
5,2,757,"ABBA",NA,840,"L","E",180,"S","FSLP",1,7,FALSE,1986,6.1,4.52,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0029224734,NA,NA,NA,409,FALSE
5,2,760,"PIRU","1986",840,"L","E",180,"S","FSLP",1,6,FALSE,1986,12.8,8.89,NA,NA,NA,"DEAD",NA,15.261481190625,0.0128679936,NA,NA,NA,410,TRUE
5,2,766,"PIRU",NA,840,"L","E",180,"S","FSLP",5,9,FALSE,1986,7.9,7.01,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0049016814,NA,NA,NA,411,FALSE
5,2,771,"UNID","1986",840,"L","E",180,"S","FSLP",NA,NA,FALSE,1986,5.4,5.16,NA,NA,NA,"DEAD",NA,15.261481190625,0.0022902264,NA,NA,NA,412,TRUE
5,2,773,"ABBA","1986",840,"L","E",180,"S","FSLP",2,10,FALSE,1986,23.5,9.62,NA,NA,NA,"DEAD",NA,15.261481190625,0.043373715,NA,NA,NA,413,TRUE
5,2,783,"ABBA",NA,840,"L","E",180,"S","FSLP",4,7,FALSE,1986,5.9,4.19,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0027339774,NA,NA,NA,414,FALSE
5,2,784,"PIRU",NA,840,"L","E",180,"S","FSLP",3,10,FALSE,1986,21.1,14.6,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0349667934,NA,NA,NA,415,FALSE
5,2,785,"PIRU","1998",840,"L","E",180,"S","FSLP",3,10,FALSE,1986,6.4,3.88,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0032169984,NA,NA,NA,416,TRUE
5,2,786,"BECO",NA,840,"L","E",180,"S","FSLP",5,9,FALSE,1986,14.9,11.9,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0174366654,NA,NA,NA,417,FALSE
5,2,793,"BECO",NA,840,"L","E",180,"S","FSLP",2,10,FALSE,1986,14.3,12.6,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0160606446,NA,NA,NA,418,FALSE
5,2,794,"PIRU",NA,840,"L","E",180,"S","FSLP",4,10,FALSE,1986,18.8,15.3,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0277591776,NA,NA,NA,419,FALSE
5,2,795,"PIRU","1986",840,"L","E",180,"S","FSLP",5,10,FALSE,1986,12.5,10.4,NA,NA,NA,"DEAD",NA,15.261481190625,0.012271875,NA,NA,NA,420,TRUE
5,2,796,"BECO",NA,840,"L","E",180,"S","FSLP",5,9,FALSE,1986,16.8,12.9,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0221671296,NA,NA,NA,421,FALSE
5,3,721,"ABBA",NA,840,"L","E",180,"S","FSLP",7,7,FALSE,1986,5.1,4.36,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0020428254,NA,NA,NA,467,FALSE
5,3,754,"ABBA",NA,840,"L","E",180,"S","FSLP",8,9,FALSE,1986,5.6,5.87,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0024630144,NA,NA,NA,469,FALSE
5,3,755,"ABBA",NA,840,"L","E",180,"S","FSLP",6,10,FALSE,1986,6,4.49,NA,NA,NA,"ALIVE",NA,15.261481190625,0.00282744,NA,NA,NA,470,FALSE
5,3,761,"ABBA",NA,840,"L","E",180,"S","FSLP",8,10,FALSE,1986,6.6,4.69,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0034212024,NA,NA,NA,471,FALSE
5,3,762,"ABBA",NA,840,"L","E",180,"S","FSLP",7,8,FALSE,1986,7,4.65,NA,NA,NA,"ALIVE",NA,15.261481190625,0.00384846,NA,NA,NA,472,FALSE
5,3,764,"ABBA",NA,840,"L","E",180,"S","FSLP",8,6,FALSE,1986,20.2,9.79,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0320474616,NA,NA,NA,473,FALSE
5,3,770,"PIRU",NA,840,"L","E",180,"S","FSLP",9,8,FALSE,1986,29.4,15.2,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0678868344,NA,NA,NA,474,FALSE
