"","pplot","splot","tag","spec","yrmort","elev","elevcl","aspcl","asp","soilcl","slopcl","bqudx","bqudy","meas87","p98dbh","p98ht","p10dbh","p10ht","time","nsumba.1","nsumba.2","nsumba.3","nsumba5.1","nsumba5.2","nsumba5.3","nsumbabig.1","nsumbabig.2","nsumbabig.3","dbh","ht","dbhgrowth","bagrowth","htgrowth","stat","cpos","ch","ba","id","mort"
"342.1986",5,2,784,"PIRU",NA,840,"L","E",180,"S","FSLP",3,10,FALSE,TRUE,TRUE,TRUE,TRUE,1986,0.0032169984,NA,NA,0.0032169984,NA,NA,0,NA,NA,21.1,14.6,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0349667934,342,FALSE
"343.1986",5,2,785,"PIRU","1998",840,"L","E",180,"S","FSLP",3,10,FALSE,NA,NA,NA,NA,1986,0.0349667934,NA,NA,0.0349667934,NA,NA,0.0349667934,NA,NA,6.4,3.88,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0032169984,343,TRUE
"344.1986",5,2,786,"BECO",NA,840,"L","E",180,"S","FSLP",5,9,FALSE,TRUE,FALSE,FALSE,FALSE,1986,0.027068811,0.1524516378,NA,0.027068811,0.1524516378,NA,0.0221671296,0.1239494718,NA,14.9,11.9,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0174366654,344,FALSE
"345.1986",5,2,793,"BECO",NA,840,"L","E",180,"S","FSLP",2,10,FALSE,TRUE,TRUE,FALSE,TRUE,1986,0,NA,NA,0,NA,NA,0,NA,NA,14.3,12.6,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0160606446,345,FALSE
"346.1986",5,2,794,"PIRU",NA,840,"L","E",180,"S","FSLP",4,10,FALSE,TRUE,TRUE,TRUE,FALSE,1986,0,NA,NA,0,NA,NA,0,NA,NA,18.8,15.3,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0277591776,346,FALSE
"347.1986",5,2,795,"PIRU","1986",840,"L","E",180,"S","FSLP",5,10,FALSE,NA,NA,NA,NA,1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5,10.4,NA,NA,NA,"DEAD",NA,15.261481190625,0.012271875,347,TRUE
"348.1986",5,2,796,"BECO",NA,840,"L","E",180,"S","FSLP",5,9,FALSE,TRUE,TRUE,TRUE,TRUE,1986,0.0223383468,0.1477211736,NA,0.0223383468,0.1477211736,NA,0,0.1017823422,NA,16.8,12.9,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0221671296,348,FALSE
"379.1986",5,3,721,"ABBA",NA,840,"L","E",180,"S","FSLP",7,7,FALSE,TRUE,TRUE,TRUE,TRUE,1986,0,0.1168211814,0.352970541,0,0.1168211814,0.352970541,0,0.1168211814,0.352970541,5.1,4.36,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0020428254,379,FALSE
"380.1986",5,3,754,"ABBA",NA,840,"L","E",180,"S","FSLP",8,9,FALSE,TRUE,TRUE,TRUE,TRUE,1986,0.0134782494,0.1005013548,NA,0.0134782494,0.1005013548,NA,0.0134782494,0.1005013548,NA,5.6,5.87,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0024630144,380,FALSE
"381.1986",5,3,755,"ABBA",NA,840,"L","E",180,"S","FSLP",6,10,FALSE,TRUE,TRUE,TRUE,TRUE,1986,0,NA,NA,0,NA,NA,0,NA,NA,6,4.49,NA,NA,NA,"ALIVE",NA,15.261481190625,0.00282744,381,FALSE
"382.1986",5,3,761,"ABBA",NA,840,"L","E",180,"S","FSLP",8,10,FALSE,TRUE,TRUE,TRUE,TRUE,1986,0.007088235,NA,NA,0.007088235,NA,NA,0.007088235,NA,NA,6.6,4.69,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0034212024,382,FALSE
"383.1986",5,3,762,"ABBA",NA,840,"L","E",180,"S","FSLP",7,8,FALSE,TRUE,TRUE,TRUE,TRUE,1986,0,0.0967856274,0.3342913728,0,0.0967856274,0.3342913728,0,0.0922797876,0.321413169,7,4.65,NA,NA,NA,"ALIVE",NA,15.261481190625,0.00384846,383,FALSE
"384.1986",5,3,764,"ABBA",NA,840,"L","E",180,"S","FSLP",8,6,FALSE,TRUE,TRUE,TRUE,FALSE,1986,0.0021237216,0.004166547,0.275259138,0.0021237216,0.004166547,0.275259138,0,0,0.2088763446,20.2,9.79,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0320474616,384,FALSE
"385.1986",5,3,770,"PIRU",NA,840,"L","E",180,"S","FSLP",9,8,FALSE,TRUE,TRUE,TRUE,FALSE,1986,0,0.0207196374,NA,0,0.0207196374,NA,0,0,NA,29.4,15.2,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0678868344,385,FALSE
"386.1986",5,3,788,"ABBA","1998",840,"L","E",180,"S","FSLP",8,6,FALSE,NA,NA,NA,NA,1986,0.0320474616,0.034090287,0.305182878,0.0320474616,0.034090287,0.305182878,0.0320474616,0.0320474616,0.3031400526,5.2,3.5,NA,NA,NA,"ALIVE",NA,15.261481190625,0.0021237216,386,TRUE
