"install","plot","time","pplot","plotden","pplotden","plotba","pplotba","plotbv","pplotbv"
52,5,76,"52.5",1720,1720,31.851551424,27.278418552,451.95120248,359.70861986
52,5,79,"52.5",1640,1720,35.1874908,31.851551424,531.06524756,451.95120248
52,5,82,"52.5",1580,1640,37.703551116,35.1874908,590.21854602,531.06524756
52,5,85,"52.5",1440,1580,38.50627704,37.703551116,631.755064,590.21854602
52,5,91,"52.5",1300,1440,42.08911476,38.50627704,748.79646082,631.755064
52,5,97,"52.5",1000,1300,43.06225064988,42.08911476,815.97209322,748.79646082
53,2,73,"53.2",2080,NA,41.61292674,NA,648.50966206,NA
53,2,76,"53.2",1980,2080,48.164073804,41.61292674,804.7323284,648.50966206
53,2,79,"53.2",1840,1980,52.99533624,48.164073804,932.5903288,804.7323284
53,2,82,"53.2",1780,1840,56.519834448,52.99533624,1012.91314942,932.5903288
53,2,85,"53.2",1740,1780,59.089207716,56.519834448,1086.64655688,1012.91314942
53,2,91,"53.2",1600,1740,66.06737676,59.089207716,1312.76854128,1086.64655688
53,2,97,"53.2",1280,1600,70.172222736,66.06737676,1469.6452732,1312.76854128
53,4,73,"53.4",2580,NA,35.901953472,NA,493.26268382,NA
53,4,76,"53.4",2460,2580,41.399659224,35.901953472,617.433377,493.26268382
53,4,79,"53.4",2160,2460,45.171197148,41.399659224,722.45610116,617.433377
53,4,82,"53.4",1960,2160,47.847541896,45.171197148,792.97464886,722.45610116
53,4,85,"53.4",1820,1960,49.204100484,47.847541896,849.68462312,792.97464886
53,4,91,"53.4",1560,1820,53.28836898,49.204100484,1010.52283488,849.68462312
53,4,97,"53.4",1140,1560,55.514553864,53.28836898,1113.8668279,1010.52283488
54,1,73,"54.1",2620,NA,27.897863532,NA,310.43223064,NA
54,1,76,"54.1",2560,2620,32.101449996,27.897863532,385.06175048,310.43223064
54,1,79,"54.1",2520,2560,35.39593596,32.101449996,448.88394344,385.06175048
54,1,82,"54.1",2340,2520,37.100112588,35.39593596,490.54094768,448.88394344
54,1,85,"54.1",2280,2340,39.002744088,37.100112588,535.83871022,490.54094768
54,1,91,"54.1",2140,2280,42.902427876,39.002744088,638.46703442,535.83871022
54,1,97,"54.1",1620,2140,44.845432863,42.902427876,725.57590044,638.46703442
54,4,73,"54.4",2460,NA,17.58644118,NA,159.1653678,NA
54,4,76,"54.4",2460,2460,20.784385776,17.58644118,205.26542158,159.1653678
54,4,79,"54.4",2420,2460,23.108557164,20.784385776,245.55233672,205.26542158
54,4,82,"54.4",2400,2420,25.135360404,23.108557164,279.1976847,245.55233672
54,4,85,"54.4",2300,2400,26.83114896,25.135360404,313.79316254,279.1976847
54,4,91,"54.4",2020,2300,28.685352696,26.83114896,367.75009342,313.79316254
54,4,97,"54.4",1340,2020,29.561230776,28.685352696,422.7112594,367.75009342
65,5,73,"65.5",2660,NA,40.632810372,NA,562.63806558,NA
65,5,76,"65.5",2460,2660,45.744617688,40.632810372,683.64609462,562.63806558
65,5,79,"65.5",2160,2460,49.525030632,45.744617688,787.61877884,683.64609462
65,5,82,"65.5",2000,2160,53.083395288,49.525030632,885.72331094,787.61877884
65,5,85,"65.5",1760,2000,55.563170124,53.083395288,970.65993502,885.72331094
65,5,91,"65.5",1280,1760,59.160317832,55.563170124,1135.49618862,970.65993502
65,5,97,"65.5",660,1280,63.21574644,59.160317832,1275.61104548,1135.49618862
65,6,73,"65.6",2620,NA,34.93600572,NA,446.81108744,NA
65,6,76,"65.6",2500,2620,39.800977524,34.93600572,550.4382229,446.81108744
65,6,79,"65.6",2320,2500,44.156900172,39.800977524,653.3211465,550.4382229
65,6,82,"65.6",2220,2320,47.876915856,44.156900172,738.55929284,653.3211465
65,6,85,"65.6",2100,2220,50.631502152,47.876915856,815.66025104,738.55929284
65,6,91,"65.6",1640,2100,55.03816164,50.631502152,978.16649408,815.66025104
65,6,97,"65.6",1200,1640,59.372721408,55.03816164,1106.57792662,978.16649408
70,1,73,"70.1",1260,NA,18.421337088,NA,183.69577026,NA
70,1,76,"70.1",1260,1260,29.726981592,18.421337088,371.66822644,183.69577026
70,1,79,"70.1",1260,1260,38.691961308,29.726981592,549.0532865,371.66822644
70,1,82,"70.1",1200,1260,44.509591896,38.691961308,677.93231842,549.0532865
70,1,85,"70.1",1200,1200,48.365607444,44.509591896,782.91641708,677.93231842
70,1,91,"70.1",1040,1200,56.627214336,48.365607444,1079.21161704,782.91641708
70,1,97,"70.1",820,1040,61.12893864,56.627214336,1232.36911872,1079.21161704
70,8,73,"70.8",1240,NA,19.223277612,NA,183.15245224,NA
70,8,76,"70.8",1240,1240,28.963132968,19.223277612,327.69804318,183.15245224
70,8,79,"70.8",1180,1240,35.766990336,28.963132968,460.3091087,327.69804318
70,8,82,"70.8",1180,1180,40.672425948,35.766990336,566.7815679,460.3091087
70,8,85,"70.8",1060,1180,44.295601812,40.672425948,660.43509108,566.7815679
70,8,91,"70.8",860,1060,52.77432468,44.295601812,951.11059988,660.43509108
70,8,97,"70.8",380,860,55.942769652,52.77432468,1094.19698832,951.11059988
71,11,73,"71.11",2280,NA,28.5814914,NA,383.92711526,NA
71,11,76,"71.11",2160,2280,34.193551392,28.5814914,495.1598453,383.92711526
71,11,79,"71.11",2100,2160,38.218632144,34.193551392,574.8701708,495.1598453
71,11,82,"71.11",2080,2100,41.148723924,38.218632144,638.41249888,574.8701708
71,11,85,"71.11",1940,2080,43.380563688,41.148723924,696.29707686,638.41249888
