"aspect","elev","install","plot","spec","tag","time","id","rgr","method","corr","degree","sdp","si","hazPeriod","lambda"
315,180,1,16,"FD",162,5,166,1.03289217792422,"bs",0.0522172097682969,2,2,3,1,Inf
315,180,1,16,"FD",165,5,169,1.22223500818357,"bs",0.0522172097682969,2,2,3,1,Inf
315,180,1,16,"FD",166,5,170,0.918272621992871,"bs",0.0522172097682969,2,2,3,1,Inf
315,180,1,16,"FD",169,5,173,0.266305992021992,"bs",0.0522172097682969,2,2,3,1,Inf
315,180,1,16,"FD",173,5,177,1.96840764512856,"bs",0.0522172097682969,2,2,3,1,Inf
315,180,1,16,"FD",174,5,178,1.25974703964777,"bs",0.0522172097682969,2,2,3,1,Inf
315,180,1,16,"FD",102,6,106,0.119749862379957,"bs",0.224916401519326,1,2,3,2,Inf
315,180,1,16,"FD",104,6,108,0.675790836686057,"bs",0.224916401519326,1,2,3,2,Inf
315,180,1,16,"FD",105,6,109,1.05990008317238,"bs",0.224916401519326,1,2,3,2,Inf
315,180,1,16,"FD",107,6,111,1.44165652375512,"bs",0.224916401519326,1,2,3,2,Inf
315,180,1,16,"FD",109,6,113,1.40011616093318,"bs",0.224916401519326,1,2,3,2,Inf
315,180,1,16,"FD",110,6,114,1.26391172106663,"bs",0.224916401519326,1,2,3,2,Inf
315,180,1,16,"FD",111,6,115,0.420865351380617,"bs",0.224916401519326,1,2,3,2,Inf
315,180,1,16,"FD",115,6,119,2.29359521202686,"bs",0.224916401519326,1,2,3,2,Inf
315,180,1,16,"FD",119,6,123,1.35136278202283,"bs",0.224916401519326,1,2,3,2,Inf
315,180,1,16,"FD",120,6,124,0.798541058960753,"bs",0.224916401519326,1,2,3,2,Inf
315,180,1,16,"FD",123,6,127,0,"bs",0.224916401519326,1,2,3,2,Inf
315,180,1,16,"FD",129,6,133,1.14726600408625,"bs",0.224916401519326,1,2,3,2,Inf
315,180,1,16,"FD",133,6,137,0.682115469835543,"bs",0.224916401519326,1,2,3,2,Inf
315,180,1,16,"FD",134,6,138,2.73377743073152,"bs",0.224916401519326,1,2,3,2,Inf
315,180,1,16,"FD",135,6,139,0.908673619819719,"bs",0.224916401519326,1,2,3,2,Inf
315,180,1,16,"FD",138,6,142,1.06392766957958,"bs",0.224916401519326,1,2,3,2,Inf
315,180,1,16,"FD",140,6,144,0.333728713386271,"bs",0.224916401519326,1,2,3,2,Inf
315,180,1,16,"FD",144,6,148,1.35243018686386,"bs",0.224916401519326,1,2,3,2,Inf
315,180,1,16,"FD",145,6,149,0.563029869488488,"bs",0.224916401519326,1,2,3,2,Inf
315,180,1,16,"FD",149,6,153,0.478808436851546,"bs",0.224916401519326,1,2,3,2,Inf
315,180,1,16,"FD",150,6,154,0.878515308366645,"bs",0.224916401519326,1,2,3,2,Inf
315,180,1,16,"FD",155,6,159,1.33993388518217,"bs",0.224916401519326,1,2,3,2,Inf
315,180,1,16,"FD",160,6,164,1.16210271767053,"bs",0.224916401519326,1,2,3,2,Inf
315,180,1,16,"FD",162,6,166,1.25902846331617,"bs",0.224916401519326,1,2,3,2,Inf
315,180,1,16,"FD",165,6,169,1.0991767236506,"bs",0.224916401519326,1,2,3,2,Inf
315,180,1,16,"FD",166,6,170,1.43493021539965,"bs",0.224916401519326,1,2,3,2,Inf
315,180,1,16,"FD",169,6,173,0.429252088016761,"bs",0.224916401519326,1,2,3,2,Inf
315,180,1,16,"FD",173,6,177,0,"bs",0.224916401519326,1,2,3,2,Inf
315,180,1,16,"FD",174,6,178,1.08556845110592,"bs",0.224916401519326,1,2,3,2,Inf
315,180,1,16,"FD",102,7,106,0,"bs",0.453036594365495,1,2,3,3,Inf
315,180,1,16,"FD",104,7,108,0.803551226300432,"bs",0.453036594365495,1,2,3,3,Inf
315,180,1,16,"FD",105,7,109,1.16916953991321,"bs",0.453036594365495,1,2,3,3,Inf
315,180,1,16,"FD",107,7,111,1.68435675252373,"bs",0.453036594365495,1,2,3,3,Inf
315,180,1,16,"FD",109,7,113,1.66120826053558,"bs",0.453036594365495,1,2,3,3,Inf
315,180,1,16,"FD",110,7,114,1.40748100693826,"bs",0.453036594365495,1,2,3,3,Inf
315,180,1,16,"FD",111,7,115,0.263952299887365,"bs",0.453036594365495,1,2,3,3,Inf
315,180,1,16,"FD",115,7,119,0.978180138790957,"bs",0.453036594365495,1,2,3,3,Inf
315,180,1,16,"FD",119,7,123,1.39626667642153,"bs",0.453036594365495,1,2,3,3,Inf
315,180,1,16,"FD",120,7,124,1.25247531411753,"bs",0.453036594365495,1,2,3,3,Inf
315,180,1,16,"FD",123,7,127,3.4734644365816,"bs",0.453036594365495,1,2,3,3,Inf
315,180,1,16,"FD",129,7,133,0.766382441364551,"bs",0.453036594365495,1,2,3,3,Inf
315,180,1,16,"FD",133,7,137,0.698482409000379,"bs",0.453036594365495,1,2,3,3,Inf
315,180,1,16,"FD",134,7,138,0.0743301215341782,"bs",0.453036594365495,1,2,3,3,Inf
315,180,1,16,"FD",135,7,139,1.13238167517921,"bs",0.453036594365495,1,2,3,3,Inf
315,180,1,16,"FD",138,7,142,1.64660187540877,"bs",0.453036594365495,1,2,3,3,Inf
315,180,1,16,"FD",140,7,144,0.260094847460416,"bs",0.453036594365495,1,2,3,3,Inf
315,180,1,16,"FD",144,7,148,1.20060828697271,"bs",0.453036594365495,1,2,3,3,Inf
315,180,1,16,"FD",145,7,149,0.497399400361606,"bs",0.453036594365495,1,2,3,3,Inf
315,180,1,16,"FD",149,7,153,0.462852917372775,"bs",0.453036594365495,1,2,3,3,Inf
315,180,1,16,"FD",150,7,154,0.517985384247561,"bs",0.453036594365495,1,2,3,3,Inf
315,180,1,16,"FD",155,7,159,1.39520519504912,"bs",0.453036594365495,1,2,3,3,Inf
315,180,1,16,"FD",160,7,164,1.0674794681474,"bs",0.453036594365495,1,2,3,3,Inf
315,180,1,16,"FD",162,7,166,0.985748540375099,"bs",0.453036594365495,1,2,3,3,Inf
315,180,1,16,"FD",165,7,169,1.07937556480725,"bs",0.453036594365495,1,2,3,3,Inf
315,180,1,16,"FD",166,7,170,0.35071814479199,"bs",0.453036594365495,1,2,3,3,Inf
315,180,1,16,"FD",169,7,173,0.283015765093459,"bs",0.453036594365495,1,2,3,3,Inf
315,180,1,16,"FD",173,7,177,0.919087792675147,"bs",0.453036594365495,1,2,3,3,Inf
315,180,1,16,"FD",174,7,178,0.553699784385364,"bs",0.453036594365495,1,2,3,3,Inf
180,430,2,6,"FD",5,5,204,1.14352274308752,"bs",0.657760931187083,9,2,1,1,Inf
180,430,2,6,"FD",7,5,206,0,"bs",0.657760931187083,9,2,1,1,Inf
180,430,2,6,"FD",11,5,210,1.73270507612062,"bs",0.657760931187083,9,2,1,1,Inf
180,430,2,6,"FD",12,5,211,1.34813216073949,"bs",0.657760931187083,9,2,1,1,Inf
180,430,2,6,"FD",14,5,213,1.73173830911038,"bs",0.657760931187083,9,2,1,1,Inf
180,430,2,6,"FD",15,5,214,1.23013422137809,"bs",0.657760931187083,9,2,1,1,Inf
180,430,2,6,"FD",17,5,216,1.14348182160923,"bs",0.657760931187083,9,2,1,1,Inf
180,430,2,6,"FD",18,5,217,0.896915493962314,"bs",0.657760931187083,9,2,1,1,Inf
180,430,2,6,"FD",25,5,224,1.08878525195629,"bs",0.657760931187083,9,2,1,1,Inf
180,430,2,6,"FD",26,5,225,1.06278505518338,"bs",0.657760931187083,9,2,1,1,Inf
180,430,2,6,"FD",29,5,228,0.647777821304001,"bs",0.657760931187083,9,2,1,1,Inf
180,430,2,6,"FD",32,5,231,1.24622311965353,"bs",0.657760931187083,9,2,1,1,Inf
180,430,2,6,"FD",33,5,232,0.837112183504821,"bs",0.657760931187083,9,2,1,1,Inf
180,430,2,6,"FD",36,5,235,0.223963300430822,"bs",0.657760931187083,9,2,1,1,Inf
180,430,2,6,"FD",37,5,236,0.89145090637641,"bs",0.657760931187083,9,2,1,1,Inf
180,430,2,6,"FD",38,5,237,1.03504209344422,"bs",0.657760931187083,9,2,1,1,Inf
180,430,2,6,"FD",41,5,240,0.855899667005305,"bs",0.657760931187083,9,2,1,1,Inf
180,430,2,6,"FD",42,5,241,0.952725018785993,"bs",0.657760931187083,9,2,1,1,Inf
180,430,2,6,"FD",44,5,243,0.921377273770885,"bs",0.657760931187083,9,2,1,1,Inf
180,430,2,6,"FD",45,5,244,0.894150468343661,"bs",0.657760931187083,9,2,1,1,Inf
180,430,2,6,"FD",46,5,245,1.51229567838181,"bs",0.657760931187083,9,2,1,1,Inf
180,430,2,6,"FD",51,5,250,0,"bs",0.657760931187083,9,2,1,1,Inf
