"pplot","splot","tag","spec","yrmort","stat86","stat87","stat98","stat10","dbh86","decm86","dbh87","cpos87","decm87","dbh98","decm98","cpos98","dbh10","decm10","cpos10","elev","elevcl","aspcl","asp","soilcl","slopcl","bqudx","bqudy","bv86","bv87","bv98","bv10","ht86","ht87","ht98","ht10","ba86","ba87","ba98","ba10","dbhgrowth98","dbhgrowth10","htgrowth98","htgrowth10","priordbh86","priordbh87","priordbh98","priordbh10","priorba86","priorba87","priorba98","priorba10","priorbv86","priorbv87","priorbv98","priorbv10","priorht86","priorht87","priorht98","priorht10","bvgrowth98","bvgrowth10"
1,2,390,"ABBA",NA,"ALIVE","","","",8,NA,NA,"",NA,NA,NA,"",NA,NA,"",925,"M","E",270,".","SUMT",4,7,NA,NA,NA,NA,NA,NA,NA,NA,0.00502656,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,0.00502656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,393,"BECO",NA,"ALIVE","","","",11.9,NA,NA,"",NA,NA,NA,"",NA,NA,"",925,"M","E",270,".","SUMT",5,9,NA,NA,NA,NA,NA,NA,NA,NA,0.0111220494,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.9,NA,NA,NA,0.0111220494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2,394,"BECO",NA,"ALIVE","","","",10,NA,NA,"",NA,NA,NA,"",NA,NA,"",925,"M","E",270,".","SUMT",5,8,NA,NA,NA,NA,NA,NA,NA,NA,0.007854,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,0.007854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,83,"BECO",NA,"ALIVE","","","",7.3,NA,NA,"",NA,NA,NA,"",NA,NA,"",925,"M","E",270,".","SUMT",9,8,NA,NA,NA,NA,NA,NA,NA,NA,0.0041853966,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3,NA,NA,NA,0.0041853966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,84,"SOAM",NA,"ALIVE","","","",15,NA,NA,"",NA,NA,NA,"",NA,NA,"",925,"M","E",270,".","SUMT",8,8,NA,NA,NA,NA,NA,NA,NA,NA,0.0176715,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,0.0176715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,85,"BECO",NA,"ALIVE","","","",17.5,NA,NA,"",NA,NA,NA,"",NA,NA,"",925,"M","E",270,".","SUMT",6,7,NA,NA,NA,NA,NA,NA,NA,NA,0.024052875,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.5,NA,NA,NA,0.024052875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,87,"SOAM",NA,"ALIVE","","","",12.5,NA,NA,"",NA,NA,NA,"",NA,NA,"",925,"M","E",270,".","SUMT",8,8,NA,NA,NA,NA,NA,NA,NA,NA,0.012271875,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.5,NA,NA,NA,0.012271875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,98,"SOAM",NA,"ALIVE","","","",19.7,NA,NA,"",NA,NA,NA,"",NA,NA,"",925,"M","E",270,".","SUMT",7,8,NA,NA,NA,NA,NA,NA,NA,NA,0.0304805886,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.7,NA,NA,NA,0.0304805886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,155,"ABBA",NA,"ALIVE","","","",6.3,NA,NA,"",NA,NA,NA,"",NA,NA,"",925,"M","E",270,".","SUMT",6,6,NA,NA,NA,NA,NA,NA,NA,NA,0.0031172526,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3,NA,NA,NA,0.0031172526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,3,158,"BECO",NA,"ALIVE","","","",6.7,NA,NA,"",NA,NA,NA,"",NA,NA,"",925,"M","E",270,".","SUMT",9,9,NA,NA,NA,NA,NA,NA,NA,NA,0.0035256606,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.7,NA,NA,NA,0.0035256606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
